ID,Name,Price,"Quantity on Hand"
0,"Mountbatten pink Crib",$289,42
1,"Misty rose Sofa",$649.99,49
2,"Myrtle Sectional","$1,039.99",94
3,"Mauvelous Nightstand",$81.99,88
4,"Wild blue yonder Dining Chair",$89.99,48
5,"Maximum blue green Sleeper Sofa","$1,279.99",9
6,"Robin egg blue Dining Chair",$89.99,94
7,"Royal blue Loveseat",$269.99,21
8,"Light blue Wardrobe",$719.99,8
9,"Livid blue Sleeper Sofa","$1,279.99",37
10,"Steel Teal Stool",$54.99,79
11,"Vanilla ice Dresser",$699.99,99
12,"Green Sheen Dining Chair",$89.99,90
13,"Antique white Nightstand",$81.99,45
14,"Viridian green Plant Stand",$42.99,77
15,"Tea green Loveseat",$269.99,5
16,"Coyote brown Sectional","$1,039.99",59
17,"Bright maroon End Table",$39.99,54
18,"Tuscan brown Bed",$389.99,80
19,"Tumbleweed brown Loveseat",$269.99,57
20,"White Dining Table",$800,30
21,"Sand Sleeper Sofa","$1,279.99",6
22,"Uranian blue Bed",$389.99,5
23,"Orange Sofa",$649.99,44
24,"Maximum red Dining Table",$800,45
25,"Moss green Coffee Table",$200,62
26,"Coral pink Plant Stand",$42.99,83
27,"Gold End Table",$39.99,29
28,"Queen pink End Table",$39.99,56
29,"Medium blue Reclining Sofa","$1,119.99",55
30,"Slimy green End Table",$39.99,29
31,"Black coffee Storage Bench",$194.99,33
32,"Antique white Dresser",$699.99,32
33,"Magnolia Reclining Loveseat","$1,023.99",24
34,"Cyan Reclining Loveseat","$1,023.99",28
35,"Puce Reclining Loveseat","$1,023.99",40
36,"Amaranth purple Chaise Lounge",$235.99,64
37,"Orange peel Wardrobe",$719.99,87
38,"Silver Reclining Sofa","$1,119.99",56
39,"Chinese violet Crib",$289,20
40,"Almond Headboard",$222.99,80
41,"Dark moss green Coffee Table",$200,86
42,"Maximum blue Sectional","$1,039.99",24
43,"Persian plum Sleeper Sofa","$1,279.99",28
44,"Baker-Miller pink Wardrobe",$719.99,92
45,"Papaya whip Coffee Table",$200,73
46,"Fluorescent blue Bed",$389.99,91
47,"Han blue Plant Stand",$42.99,18
48,"Raw sienna Crib",$289,26
49,"Old rose Headboard",$222.99,62
50,"Mulberry Bed",$389.99,48
51,"Rose Sleeper Sofa","$1,279.99",34
52,"Sheen green Loveseat",$269.99,83
53,"Aquamarine End Table",$39.99,22
54,"Mystic maroon Ottoman",$52.99,80
55,"Falu red Dining Table",$800,52
56,"Old rose Chaise Lounge",$235.99,28
57,"Lapis lazuli Chaise Lounge",$235.99,55
58,"Illuminating emerald Dining Table",$800,0
59,"Dark green Bench",$114.99,3
60,"Tuscan red Loveseat",$269.99,4
61,"Sap green Ottoman",$52.99,46
62,"Carolina blue Sofa",$649.99,70
63,"Pullman Brown Crib",$289,36
64,"Metallic Seaweed Bench",$114.99,84
65,"Safety yellow Nightstand",$81.99,70
66,"Sizzling Sunrise yellow Sleeper Sofa","$1,279.99",51
67,"May green Chaise Lounge",$235.99,45
68,"Turtle green Dining Table",$800,65
69,"Pumpkin Reclining Sofa","$1,119.99",17
70,"Olive green Futon",$219.99,89
71,"Middle grey Daybed",$311.99,96
72,"Pink Reclining Loveseat","$1,023.99",6
73,"Electric violet Ottoman",$52.99,18
74,"Paolo Veronese green Stool",$54.99,37
75,"Spanish pink Stool",$54.99,25
76,"Macaroni and Cheese Sectional","$1,039.99",67
77,"Raspberry glace Crib",$289,4
78,"Naples yellow Stool",$54.99,29
79,"Ming Reclining Sofa","$1,119.99",92
80,"Persian indigo Dining Table",$800,52
81,"Magnolia Reclining Sofa","$1,119.99",34
82,"Tea rose Ottoman",$52.99,21
83,"Green-cyan Dining Chair",$89.99,58
84,"Android green Ottoman",$52.99,62
85,"School Bus Yellow Chaise Lounge",$235.99,89
86,"Black coffee Sleeper Sofa","$1,279.99",60
87,"Arctic lime Futon",$219.99,16
88,"Light steel blue Dining Table",$800,71
89,"Fandango pink Wardrobe",$719.99,30
90,"Blaze orange Dining Table",$800,94
91,"Blue yonder Chaise Lounge",$235.99,38
92,"Razzle dazzle rose Daybed",$311.99,84
93,"Amaranth pink Ottoman",$52.99,8
94,"Deep sky blue Daybed",$311.99,54
95,"Sugar Plum Ottoman",$52.99,22
96,"Macaroni and Cheese Bed",$389.99,34
97,"Ocean Blue Ottoman",$52.99,22
98,"Laurel green Wardrobe",$719.99,35
99,"Opera mauve Plant Stand",$42.99,9
100,"Rose bonbon Ottoman",$52.99,34
101,"Black coffee Reclining Sofa","$1,119.99",28
102,"Mardi Gras purple Bench",$114.99,33
103,"Outrageous Orange Dining Table",$800,22
104,"Lemon curry Daybed",$311.99,35
105,"Payne's grey Plant Stand",$42.99,87
106,"Cerulean frost Reclining Loveseat","$1,023.99",51
107,"Titanium yellow Plant Stand",$42.99,30
108,"Lemon curry Sofa",$649.99,37
109,"Deep pink Bed",$389.99,77
110,"Blue bell End Table",$39.99,50
111,"Cameo pink Futon",$219.99,3
112,"Eggplant Wardrobe",$719.99,25
113,"Frostbite pink Loveseat",$269.99,99
114,"Almond Wardrobe",$719.99,33
115,"Amazon green Plant Stand",$42.99,1
116,"Cornflower blue Stool",$54.99,54
117,"Italian sky blue Reclining Loveseat","$1,023.99",53
118,"Steel Teal Stool",$54.99,92
119,"Satin sheen gold Daybed",$311.99,4
120,"Beau blue Stool",$54.99,69
121,"Shadow grey Sectional","$1,039.99",31
122,"Brown Crib",$289,11
123,"Purple pizzazz Crib",$289,64
124,"Aero blue Headboard",$222.99,12
125,"Old lace End Table",$39.99,96
126,"Denim Futon",$219.99,95
127,"Dark orchid Bench",$114.99,94
128,"Mauve Headboard",$222.99,64
129,"Raisin black Ottoman",$52.99,29
130,"Tawny Sleeper Sofa","$1,279.99",28
131,"Spring Frost Wardrobe",$719.99,50
132,"Magic mint Futon",$219.99,24
133,"Pink lace Daybed",$311.99,66
134,"Illuminating emerald Crib",$289,50
135,"True Blue Bench",$114.99,21
136,"OU Crimson red Dining Table",$800,76
137,"Medium candy apple red Crib",$289,60
138,"Dark slate gray Dresser",$699.99,5
139,"Deep taupe Bench",$114.99,75
140,"Green-blue Bed",$389.99,22
141,"Duke blue Daybed",$311.99,92
142,"Cosmic latte Bench",$114.99,88
143,"Old lace End Table",$39.99,48
144,"Cerulean frost Headboard",$222.99,16
145,"Prune Coffee Table",$200,30
146,"Languid lavender Loveseat",$269.99,44
147,"Paris Green Reclining Loveseat","$1,023.99",63
148,"Phthalo green Reclining Sofa","$1,119.99",57
149,"Ivory Dresser",$699.99,64
150,"Mantis green Reclining Sofa","$1,119.99",53
151,"Purple pizzazz Storage Bench",$194.99,45
152,"Tuscan brown Daybed",$311.99,68
153,"Metallic gold Sectional","$1,039.99",20
154,"Slimy green Plant Stand",$42.99,5
155,"Persian pink Dining Chair",$89.99,99
156,"Mantis green Stool",$54.99,42
157,"Indigo dye Coffee Table",$200,15
158,"Coral pink Sleeper Sofa","$1,279.99",18
159,"Burnt umber Reclining Loveseat","$1,023.99",52
160,"Indian yellow Futon",$219.99,58
161,"Amazon green Loveseat",$269.99,96
162,"Pullman Brown Sleeper Sofa","$1,279.99",24
163,"Yellow Bench",$114.99,72
164,"Morning blue Daybed",$311.99,24
165,"Maximum blue purple Reclining Sofa","$1,119.99",95
166,"Bleu de France Stool",$54.99,69
167,"Midnight green Coffee Table",$200,66
168,"Deep jungle green Sofa",$649.99,35
169,"Cotton candy Storage Bench",$194.99,35
170,"Little boy blue Storage Bench",$194.99,93
171,"UA blue Sofa",$649.99,82
172,"Medium violet-red Bench",$114.99,80
173,"Blanched almond Ottoman",$52.99,1
174,"Aqua Stool",$54.99,40
175,"Nickel Dresser",$699.99,51
176,"French violet Dining Chair",$89.99,94
177,"Harvest gold Headboard",$222.99,74
178,"Old lavender Sofa",$649.99,50
179,"Dark khaki Sofa",$649.99,43
180,"Red-purple Nightstand",$81.99,40
181,"Red Salsa Futon",$219.99,57
182,"Pictorial carmine Bed",$389.99,30
183,"Wood brown Reclining Loveseat","$1,023.99",87
184,"Straw Bench",$114.99,75
185,"Brink pink Sofa",$649.99,30
186,"Blast-off bronze Bench",$114.99,17
187,"Floral white Loveseat",$269.99,29
188,"Pearly purple Chaise Lounge",$235.99,30
189,"Purple Plum Wardrobe",$719.99,97
190,"Pink lace Storage Bench",$194.99,5
191,"Café noir Wardrobe",$719.99,95
192,"Deep cerise Bench",$114.99,97
193,"Black bean Dining Chair",$89.99,24
194,"Spanish violet Dining Table",$800,87
195,"Mustard yellow Stool",$54.99,24
196,"Mellow yellow Wardrobe",$719.99,50
197,"Duke blue Dining Chair",$89.99,71
198,"Dark goldenrod Sofa",$649.99,77
199,"Pink lavender Sleeper Sofa","$1,279.99",44
200,"Macaroni and Cheese Reclining Sofa","$1,119.99",51
201,"Dark electric blue Sleeper Sofa","$1,279.99",87
202,"Persian rose Plant Stand",$42.99,6
203,"Denim blue Ottoman",$52.99,16
204,"Congo pink Bench",$114.99,1
205,"Champagne pink Stool",$54.99,51
206,"Dark orchid Sectional","$1,039.99",82
207,"Caribbean green Reclining Loveseat","$1,023.99",8
208,"Denim Chaise Lounge",$235.99,39
209,"Beau blue Crib",$289,18
210,"Midnight blue Stool",$54.99,76
211,"Mandarin Reclining Loveseat","$1,023.99",88
212,"Carrot orange Ottoman",$52.99,51
213,"Ghost white Headboard",$222.99,100
214,"China rose Coffee Table",$200,33
215,"Razzmatazz Reclining Sofa","$1,119.99",18
216,"Sea green Wardrobe",$719.99,21
217,"Metallic Seaweed Bench",$114.99,45
218,"Candy pink Bed",$389.99,93
219,"Indian yellow Reclining Loveseat","$1,023.99",80
220,"MSU green Daybed",$311.99,15
221,"Persian rose Stool",$54.99,46
222,"Maximum red Dresser",$699.99,7
223,"Cream Coffee Table",$200,17
224,"Orchid pink Daybed",$311.99,5
